user_id,organization,organization_type
1,Government of Constellations,Stars
2,Authority of Suns,Suns
3,Democratic Unity of Suns,Systems
4,Union of Worlds,Planets
5,Collective Collective of Stars,Stars
6,Authority of Suns,Suns
7,Union of Worlds,Planets
8,Democratic Unity of Suns,Suns
9,Government of Constellations,Stars
10,Legendary Monarchy of Systems,Systems
11,Technocracy of Territories,Territories
12,Union of Worlds,Planets
13,Oligarcy of Galaxies,Systems
14,Government of Constellations,Stars
15,Stars' Electorate,Stars
16,Authority of Suns,Suns
17,System's Solidarity,Systems
18,Technocracy of Territories,Territories
19,Union of Worlds,Planets
20,Universal Regency of Galaxies,Systems
